team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Pittsburgh,Cincinnati,11/21/23 11:38,19.133,21.397,40.531,0.437,0.563,16,10,26,Cincinnati,Pittsburgh,Loss,34.5,Over,Loss,,
New Orleans,Atlanta,11/21/23 11:38,21.281,20.125,41.406,0.532,0.468,15,24,39,New Orleans,Atlanta,Loss,42,Under,Win,,
LA Rams,Arizona,11/21/23 11:38,22.151,20.448,42.599,0.548,0.452,37,14,51,LA Rams,LA Rams,Win,44.5,Under,Loss,,
Cleveland,Denver,11/21/23 11:38,22.928,19.745,42.673,0.589,0.411,12,29,41,Cleveland,Denver,Loss,35.5,Over,Win,,
Kansas City,Las Vegas,11/21/23 11:38,24.144,19.647,43.791,0.625,0.375,31,17,48,Kansas City,Kansas City,Win,44,Under,Loss,,
Buffalo,Philadelphia,11/21/23 11:38,23.614,22.655,46.268,0.527,0.473,34,37,71,Buffalo,Philadelphia,Loss,47.5,Under,Loss,,
Baltimore,LA Chargers,11/21/23 11:38,23.723,20.74,44.463,0.583,0.417,20,10,30,Baltimore,Baltimore,Win,47,Under,Win,,
Chicago,Minnesota,11/21/23 11:38,21.544,25.24,46.785,0.397,0.603,12,10,22,Minnesota,Chicago,Loss,45,Over,Loss,,
Seattle,Dallas,11/28/23 11:37,20.196,26.229,46.425,0.335,0.665,35,41,76,Dallas,Dallas,Win,46.5,Under,Loss,,
Denver,Houston,11/28/23 11:37,21.213,21.722,42.934,0.486,0.514,17,22,39,Houston,Houston,Win,46.5,Under,Win,,
Miami,Washington,11/28/23 11:37,25.967,21.493,47.461,0.624,0.376,45,15,60,Miami,Miami,Win,50.5,Under,Loss,,
Indianapolis,Tennessee,11/28/23 11:37,20.75,20.602,41.352,0.504,0.496,31,28,59,Indianapolis,Indianapolis,Win,43,Under,Loss,,
Arizona,Pittsburgh,11/28/23 11:37,19.045,21.452,40.496,0.433,0.567,24,10,34,Pittsburgh,Arizona,Loss,40,Over,Loss,,
Atlanta,NY Jets,11/28/23 11:37,20.274,18.777,39.052,0.542,0.458,13,8,21,Atlanta,Atlanta,Win,34,Over,Loss,,
Detroit,New Orleans,11/28/23 11:37,23.231,22.1,45.331,0.532,0.468,33,28,61,Detroit,Detroit,Win,46,Under,Loss,,
LA Chargers,New England,11/28/23 11:37,22.666,20.164,42.83,0.57,0.43,6,0,6,LA Chargers,LA Chargers,Win,40,Over,Loss,,
Carolina,Tampa Bay,11/28/23 11:37,19.516,21.323,40.839,0.45,0.55,18,21,39,Tampa Bay,Tampa Bay,Win,37,Over,Win,,
Cleveland,LA Rams,11/28/23 11:37,21.699,20.142,41.841,0.544,0.456,19,36,55,Cleveland,LA Rams,Loss,39,Over,Win,,
San Francisco,Philadelphia,11/28/23 11:37,23.89,21.643,45.534,0.563,0.437,42,19,61,San Francisco,San Francisco,Win,47,Under,Loss,,
Kansas City,Green Bay,11/28/23 11:37,23.535,20.349,43.884,0.589,0.411,19,27,46,Kansas City,Green Bay,Loss,42,Over,Win,,
Cincinnati,Jacksonville,11/28/23 11:37,21.711,22.109,43.82,0.489,0.511,34,31,65,Jacksonville,Cincinnati,Loss,38.5,Over,Win,,New England,Pittsburgh,2023-12-05 11:38:37,18.242,18.832,37.074,0.483,0.517,21,18,39,Pittsburgh,New England,Loss,30.0,Over,Win
Houston,NY Jets,2023-12-05 11:38:37,19.974,18.989,38.963,0.527,0.473,6,30,36,Houston,NY Jets,Loss,34.5,Over,Win
Carolina,New Orleans,2023-12-05 11:38:37,19.43,22.15,41.58,0.424,0.576,6,28,34,New Orleans,New Orleans,Win,37.5,Over,Loss
Jacksonville,Cleveland,2023-12-05 11:38:37,22.592,21.425,44.017,0.534,0.466,27,31,58,Jacksonville,Cleveland,Loss,34.0,Over,Win
Indianapolis,Cincinnati,2023-12-05 11:38:37,21.1,23.983,45.083,0.42,0.58,14,34,48,Cincinnati,Cincinnati,Win,42.5,Over,Win
Detroit,Chicago,2023-12-05 11:38:37,26.445,21.947,48.392,0.625,0.375,13,28,41,Detroit,Chicago,Loss,41.0,Over,Tie
LA Rams,Baltimore,2023-12-05 11:38:37,18.64,22.756,41.396,0.386,0.614,31,37,68,Baltimore,Baltimore,Win,43.0,Under,Loss
Tampa Bay,Atlanta,2023-12-05 11:38:38,20.034,20.571,40.605,0.484,0.516,29,25,54,Atlanta,Tampa Bay,Loss,39.5,Over,Win
Minnesota,Las Vegas,2023-12-05 11:38:38,23.174,21.354,44.528,0.551,0.449,3,0,3,Minnesota,Minnesota,Win,40.0,Over,Loss
Seattle,San Francisco,2023-12-05 11:38:38,19.46,25.951,45.41,0.323,0.677,16,28,44,San Francisco,San Francisco,Win,47.0,Under,Win
Denver,LA Chargers,2023-12-05 11:38:38,20.8,23.15,43.95,0.433,0.567,24,7,31,LA Chargers,Denver,Loss,43.0,Over,Loss
Buffalo,Kansas City,2023-12-05 11:38:38,23.305,22.247,45.553,0.529,0.471,20,17,37,Buffalo,Buffalo,Win,47.5,Under,Win
Philadelphia,Dallas,2023-12-05 11:38:38,23.168,25.439,48.607,0.437,0.563,13,33,46,Dallas,Dallas,Win,53.0,Under,Win
Tennessee,Miami,2023-12-05 11:38:38,20.214,24.32,44.534,0.386,0.614,28,27,55,Miami,Tennessee,Loss,47.0,Under,Loss
Green Bay,NY Giants,2023-12-05 11:38:38,22.58,19.056,41.636,0.598,0.402,22,24,46,Green Bay,NY Giants,Loss,37.0,Over,Win
LA Chargers,Las Vegas,2023-12-12 11:38:06,22.399,20.819,43.219,0.544,0.456,21,63,84,LA Chargers,Las Vegas,Loss,33.5,Over,Win
Minnesota,Cincinnati,2023-12-12 11:38:06,21.755,22.786,44.541,0.47,0.53,24,27,51,Cincinnati,Cincinnati,Win,38.5,Over,Win
Pittsburgh,Indianapolis,2023-12-12 11:38:06,20.81,20.196,41.006,0.518,0.482,13,30,43,Pittsburgh,Indianapolis,Loss,42.0,Under,Loss
Denver,Detroit,2023-12-12 11:38:06,21.924,24.345,46.269,0.432,0.568,17,42,59,Detroit,Detroit,Win,47.0,Under,Loss
Houston,Tennessee,2023-12-12 11:38:06,20.454,20.391,40.845,0.502,0.498,19,16,35,Houston,Houston,Win,37.5,Over,Loss
NY Giants,New Orleans,2023-12-12 11:38:06,18.882,22.029,40.911,0.412,0.588,6,24,30,New Orleans,New Orleans,Win,37.0,Over,Loss
NY Jets,Miami,2023-12-12 11:38:07,19.599,23.062,42.66,0.403,0.597,0,30,30,Miami,Miami,Win,40.0,Over,Loss
Tampa Bay,Green Bay,2023-12-12 11:38:07,20.151,21.424,41.575,0.464,0.536,34,20,54,Green Bay,Tampa Bay,Loss,42.5,Under,Loss
Chicago,Cleveland,2023-12-12 11:38:07,20.809,23.523,44.332,0.424,0.576,17,20,37,Cleveland,Cleveland,Win,37.5,Over,Loss
Atlanta,Carolina,2023-12-12 11:38:07,22.173,19.653,41.826,0.571,0.429,7,9,16,Atlanta,Carolina,Loss,35.5,Over,Loss
Kansas City,New England,2023-12-12 11:38:07,23.104,18.478,41.582,0.628,0.372,27,17,44,Kansas City,Kansas City,Win,37.0,Over,Win
San Francisco,Arizona,2023-12-12 11:38:07,26.738,17.636,44.374,0.739,0.261,45,29,74,San Francisco,San Francisco,Win,48.0,Under,Loss
Washington,LA Rams,2023-12-12 11:38:07,20.923,22.802,43.725,0.447,0.553,20,28,48,LA Rams,LA Rams,Win,49.0,Under,Win
Dallas,Buffalo,2023-12-12 11:38:07,23.684,22.634,46.318,0.529,0.471,10,31,41,Dallas,Buffalo,Loss,49.0,Under,Win
Baltimore,Jacksonville,2023-12-12 11:38:07,22.947,20.647,43.595,0.564,0.436,23,7,30,Baltimore,Baltimore,Win,44.0,Under,Win
Philadelphia,Seattle,2023-12-12 11:38:07,26.077,22.474,48.551,0.601,0.399,17,20,37,Philadelphia,Seattle,Loss,48.0,Over,Loss
New Orleans,LA Rams,2023-12-19 11:50:39,21.535,20.218,41.753,0.538,0.462,22,30,52,New Orleans,LA Rams,Loss,44.5,Under,Loss
Cincinnati,Pittsburgh,2023-12-19 11:50:39,21.926,18.849,40.776,0.585,0.415,11,34,45,Cincinnati,Pittsburgh,Loss,37.5,Over,Win
Buffalo,LA Chargers,2023-12-19 11:50:39,25.563,20.457,46.021,0.641,0.359,24,22,46,Buffalo,Buffalo,Win,42.5,Over,Win
Seattle,Tennessee,2023-12-19 11:50:39,21.965,20.864,42.828,0.532,0.468,20,17,37,Seattle,Seattle,Win,42.0,Over,Loss
Washington,NY Jets,2023-12-19 11:50:39,19.525,20.017,39.542,0.486,0.514,28,30,58,NY Jets,NY Jets,Win,38.0,Over,Win
Detroit,Minnesota,2023-12-19 11:50:40,24.515,23.562,48.077,0.527,0.473,30,24,54,Detroit,Detroit,Win,47.0,Over,Win
Cleveland,Houston,2023-12-19 11:50:40,22.266,20.449,42.716,0.552,0.448,36,22,58,Cleveland,Cleveland,Win,42.5,Over,Win
Green Bay,Carolina,2023-12-19 11:50:40,22.506,19.492,41.998,0.584,0.416,33,30,63,Green Bay,Green Bay,Win,36.5,Over,Win
Indianapolis,Atlanta,2023-12-19 11:50:40,21.049,22.243,43.292,0.467,0.533,10,29,39,Atlanta,Atlanta,Win,44.0,Under,Win
Jacksonville,Tampa Bay,2023-12-19 11:50:40,22.223,20.745,42.967,0.542,0.458,12,30,42,Jacksonville,Tampa Bay,Loss,43.5,Under,Win
Dallas,Miami,2023-12-19 11:50:40,25.484,23.101,48.585,0.567,0.433,20,22,42,Dallas,Miami,Loss,51.5,Under,Win
Arizona,Chicago,2023-12-19 11:50:40,22.09,23.0,45.09,0.474,0.526,16,27,43,Chicago,Chicago,Win,44.0,Over,Loss
New England,Denver,2023-12-19 11:50:41,20.02,20.084,40.104,0.499,0.501,26,23,49,Denver,New England,Loss,34.0,Over,Win
Las Vegas,Kansas City,2023-12-19 11:50:41,20.441,24.079,44.52,0.398,0.602,20,14,34,Kansas City,Las Vegas,Loss,41.5,Over,Loss
NY Giants,Philadelphia,2023-12-19 11:50:41,19.581,25.325,44.907,0.342,0.658,25,33,58,Philadelphia,Philadelphia,Win,43.0,Over,Win
Baltimore,San Francisco,2023-12-19 11:50:41,20.127,22.163,42.291,0.442,0.558,33,19,52,San Francisco,Baltimore,Loss,46.0,Under,Loss
NY Jets,Cleveland,2023-12-26 12:10:27,18.799,20.918,39.718,0.441,0.559,20,37,57,Cleveland,Cleveland,Win,36.0,Over,Win
Detroit,Dallas,2023-12-26 12:10:28,22.908,26.347,49.255,0.404,0.596,19,20,39,Dallas,Dallas,Win,53.5,Under,Win
San Francisco,Washington,2023-12-26 12:10:28,26.444,18.591,45.035,0.71,0.29,27,10,37,San Francisco,San Francisco,Win,48.5,Under,Win
New Orleans,Tampa Bay,2023-12-26 12:10:28,20.8,20.0,40.8,0.523,0.477,23,13,36,New Orleans,New Orleans,Win,42.5,Under,Win
Arizona,Philadelphia,2023-12-26 12:10:29,20.572,27.121,47.693,0.321,0.679,35,31,66,Philadelphia,Arizona,Loss,47.5,Over,Win
LA Rams,NY Giants,2023-12-26 12:10:29,22.306,19.918,42.224,0.568,0.432,26,25,51,LA Rams,LA Rams,Win,42.0,Over,Win
Carolina,Jacksonville,2023-12-26 12:10:29,19.995,23.347,43.343,0.406,0.594,0,26,26,Jacksonville,Jacksonville,Win,37.5,Over,Loss
Las Vegas,Indianapolis,2023-12-26 12:10:29,22.944,21.181,44.125,0.55,0.45,20,23,43,Las Vegas,Indianapolis,Loss,44.0,Over,Loss
Tennessee,Houston,2023-12-26 12:10:29,20.466,20.33,40.796,0.504,0.496,3,26,29,Tennessee,Houston,Loss,42.5,Under,Win
Atlanta,Chicago,2023-12-26 12:10:29,22.573,20.495,43.068,0.559,0.441,17,37,54,Atlanta,Chicago,Loss,39.0,Over,Win
New England,Buffalo,2023-12-26 12:10:29,18.243,23.915,42.158,0.344,0.656,21,27,48,Buffalo,Buffalo,Win,40.5,Over,Win
Miami,Baltimore,2023-12-26 12:10:29,21.909,23.286,45.195,0.462,0.538,19,56,75,Baltimore,Baltimore,Win,47.0,Under,Loss
Pittsburgh,Seattle,2023-12-26 12:10:30,20.574,21.207,41.781,0.482,0.518,30,23,53,Seattle,Pittsburgh,Loss,41.5,Over,Win
LA Chargers,Denver,2023-12-26 12:10:30,22.823,21.482,44.306,0.538,0.462,9,16,25,LA Chargers,Denver,Loss,38.5,Over,Loss
Cincinnati,Kansas City,2023-12-26 12:10:30,21.629,23.397,45.026,0.45,0.55,17,25,42,Kansas City,Kansas City,Win,45.5,Under,Win
Green Bay,Minnesota,2023-12-26 12:10:30,22.323,22.42,44.743,0.497,0.503,33,10,43,Minnesota,Green Bay,Loss,45.5,Under,Win
Pittsburgh,Baltimore,2024-01-02 12:11:15,17.799,22.361,40.16,0.374,0.626,17,10,27,Baltimore,Pittsburgh,Loss,37.5,Over,Loss
Houston,Indianapolis,2024-01-02 12:11:15,22.019,21.514,43.533,0.514,0.486,23,19,42,Houston,Houston,Win,47.5,Under,Win
NY Jets,New England,2024-01-02 12:11:15,18.687,19.115,37.802,0.488,0.512,17,3,20,New England,NY Jets,Loss,31.0,Over,Loss
Atlanta,New Orleans,2024-01-02 12:11:15,20.049,21.122,41.171,0.47,0.53,17,48,65,New Orleans,New Orleans,Win,41.5,Under,Loss
Jacksonville,Tennessee,2024-01-02 12:11:15,22.234,19.297,41.53,0.583,0.417,20,28,48,Jacksonville,Tennessee,Loss,39.5,Over,Win
Minnesota,Detroit,2024-01-02 12:11:16,23.41,24.858,48.269,0.459,0.541,20,30,50,Detroit,Detroit,Win,46.0,Over,Win
Cleveland,Cincinnati,2024-01-02 12:11:16,21.942,22.408,44.35,0.486,0.514,14,31,45,Cincinnati,Cincinnati,Win,38.5,Over,Win
Tampa Bay,Carolina,2024-01-02 12:11:16,21.608,19.202,40.81,0.567,0.433,9,0,9,Tampa Bay,Tampa Bay,Win,37.5,Over,Loss
LA Rams,San Francisco,2024-01-02 12:11:16,19.033,24.915,43.948,0.339,0.661,21,20,41,San Francisco,LA Rams,Loss,42.5,Over,Loss
Philadelphia,NY Giants,2024-01-02 12:11:16,25.699,20.13,45.829,0.653,0.347,10,27,37,Philadelphia,NY Giants,Loss,41.5,Over,Loss
Seattle,Arizona,2024-01-02 12:11:16,24.615,21.857,46.472,0.577,0.423,21,20,41,Seattle,Seattle,Win,48.0,Under,Win
Denver,Las Vegas,2024-01-02 12:11:16,20.619,21.863,42.482,0.465,0.535,14,27,41,Las Vegas,Las Vegas,Win,38.0,Over,Win
Kansas City,LA Chargers,2024-01-02 12:11:17,24.675,20.995,45.67,0.603,0.397,13,12,25,Kansas City,Kansas City,Win,36.0,Over,Loss
Chicago,Green Bay,2024-01-02 12:11:17,21.044,23.591,44.635,0.428,0.572,9,17,26,Green Bay,Green Bay,Win,44.0,Over,Loss
Dallas,Washington,2024-01-02 12:11:17,26.558,19.4,45.958,0.694,0.306,38,10,48,Dallas,Dallas,Win,44.0,Over,Win
Buffalo,Miami,2024-01-02 12:11:17,25.383,22.539,47.922,0.579,0.421,21,14,35,Buffalo,Buffalo,Win,50.5,Under,Win
